id;idaero;nombre;pais;ciudad;direccion
1;86308;monetize Run Rubber;Oregon;SMTP Director Rubber;Bedfordshire Steel
2;33908;Forward turn-key;Metal Berkshire;Avon;Bhutan
3;18675;Money Market Account Small Borders;Coordinator Licensed Wooden Shirt pricing structure;Officer Officer;Illinois
4;23494;PNG Face to face SDD;Games ivory;online Computer;Soap District local area network
5;44011;Manager Producer;secured line Outdoors;Ecuador synergize;Lights Vermont orchestrate
6;68201;metrics;Chips;reciprocal Home Loan Account;Director Investment Account
7;65603;parse Kansas;customized web-enabled;Intranet Fresh AI;1080p program
8;23693;USB Lock User-centric;matrix;online even-keeled;Ergonomic parsing Producer
9;91562;actuating back up Buckinghamshire;Gloves Gardens analyzing;collaborative Awesome Metal Cheese navigating;Kansas
10;75132;Customer;Plastic extranet Gorgeous;Yemen Hat Security;Upgradable program
