id;idavion;modelo;capacidad;idaero
1;55788;Ball systems mission-critical;88157;Soap
2;35868;Berkshire Wyoming;74123;cross-platform Greens Metal
3;53469;Squares navigating;77804;online application
4;16872;Pine Infrastructure;92606;bandwidth withdrawal
5;56806;motivating override Squares;85382;Customer Andorra Wisconsin
6;57380;protocol;66151;redundant
7;46845;Lead;38399;white Director
8;45077;niches;77128;flexibility Facilitator SSL
9;47958;Ergonomic Gorgeous mobile;86283;contingency copy
10;26025;Expanded Central African Republic Kenyan Shilling;6323;communities encompassing bus
