id;idop;despegue;aterrizaje;fecha;idavion
1;45549;XSS 5th generation Cliff;Sleek Granite Chicken Baby;streamline;60450
2;79575;Savings Account policy;Quetzal Bedfordshire Coordinator;synergize Credit Card Account;96636
3;83175;copy client-driven;Group Generic neural-net;Wooden withdrawal reboot;59929
4;42490;Technician;best-of-breed;Wyoming Agent;63590
5;16198;Tasty Soft Soap connect deliverables;navigate Ways;overriding Falkland Islands Pound;83576
6;87691;Auto Loan Account;Marketing Generic;mesh Coordinator;54835
7;62012;Bedfordshire Estonia Auto Loan Account;Bulgaria Springs cross-platform;Rubber Pants;94378
8;73247;primary;visualize Vatu;solid state invoice;3128
9;56116;Bacon payment Mount;fresh-thinking;Steel;16809
10;95640;policy Lek;Ergonomic;Quality card Operative;14482
