id;idvuelo;origen;destino;idpas
1;93939;Kina;e-markets Chad;22997
2;47236;Summit Outdoors;Designer Buckinghamshire redundant;47161
3;45244;monitor Towels Agent;sensor compress plum;85952
4;38419;Tools;Auto Loan Account;38990
5;39497;pixel Oval Pennsylvania;back up teal;59165
6;11793;Rand Namibia Dollar Optimization haptic;Nebraska deposit;87896
7;4503;Guinea-Bissau;solid state;12318
8;72499;repurpose Latvia;transmitting bypass Personal Loan Account;85364
9;44610;infrastructures;Assistant Garden Engineer;84619
10;79537;Shirt Unbranded invoice;definition Granite;99493
